problem	m_solved	e_solved	m_pput	e_pput	delta_pput	m_time_s	e_time_s
algebra_apbon2pownleqapownpbpowon2	False	False	0.000	0.000	+0.000	348.4	411.7
amc12b_2021_p13	False	False	0.000	0.000	+0.000	602.2	574.6
imo_1962_p2	False	False	0.000	0.000	+0.000	535.0	618.6
imo_1964_p2	True	True	0.311	0.371	+0.061	321.9	269.4
imo_1981_p6	True	False	0.213	0.000	-0.213	470.0	516.9
induction_1pxpownlt1pnx	False	False	0.000	0.000	+0.000	194.0	126.5
induction_sumkexp3eqsumksq	False	False	0.000	0.000	+0.000	353.3	255.4
mathd_algebra_160	True	True	2.285	1.892	-0.392	43.8	52.8
mathd_algebra_171	True	True	1.296	1.497	+0.201	77.2	66.8
mathd_algebra_208	False	False	0.000	0.000	+0.000	275.8	349.8
mathd_algebra_270	True	True	0.579	0.603	+0.024	172.8	165.8
mathd_algebra_332	True	True	0.681	0.529	-0.152	146.8	189.1
mathd_algebra_359	True	True	2.942	1.083	-1.859	34.0	92.3
mathd_algebra_44	True	True	0.857	0.942	+0.085	116.7	106.2
mathd_numbertheory_150	False	False	0.000	0.000	+0.000	87.6	136.9
mathd_numbertheory_235	False	False	0.000	0.000	+0.000	23.2	19.4
mathd_numbertheory_254	False	False	0.000	0.000	+0.000	13.6	185.8
mathd_numbertheory_345	False	False	0.000	0.000	+0.000	29.7	58.5
mathd_numbertheory_447	False	False	0.000	0.000	+0.000	38.6	39.1
numbertheory_notEquiv2i2jasqbsqdiv8	False	False	0.000	0.000	+0.000	130.0	188.4
